tconst,p1,p2,p3,p4,p5,p6
tt0369226,0,0,0,0,0,0
tt0402910,0,0,0,0,0,0
tt0382992,0,0,0,0,0,0
tt0385700,0,0,0,0,0,0
tt0433387,0,0,0,0,0,0
tt0421054,0,0,0,0,0,0
tt0329774,0,0,0,0,0,0
tt0385307,0,0,0,0,0,0
tt0378109,0,0,0,0,0,0
tt0398712,0,0,0,0,0,0
tt0395699,0,0,0,0,0,0
tt0357277,0,0,0,0,0,0
tt0365686,0,0,0,0,0,0
tt0406375,0,0,0,0,0,0
tt0386140,0,0,0,0,0,0
tt0318649,0,0,0,0,0,0
tt0342258,0,0,0,0,0,0
tt0393109,0,0,0,0,0,0
tt0419706,0,0,0,0,0,0
tt0340163,0,0,0,0,0,0
tt0421239,0,0,0,0,0,0
tt0355295,0,0,0,0,0,0
tt0402022,0,0,0,0,0,0
tt0430105,0,0,0,0,0,0
tt0418763,0,0,0,0,0,0
tt0388482,0,0,0,0,0,0
tt0373469,0,0,0,0,0,0
tt0320661,0,0,0,0,0,0
tt0379786,0,0,0,0,0,0
tt0399295,0,0,0,0,0,0
tt0360486,0,0,0,0,0,0
tt0399201,0,0,0,0,0,0
tt0120667,0,0,0,0,0,0
tt0360717,0,0,0,0,0,0
tt0356910,0,0,0,0,0,0
tt0434409,0,0,0,0,0,0
tt0372784,0,0,0,0,0,0
tt0495034,0,0,0,0,0,0
tt0386741,0,0,0,0,0,0
tt0432637,0,0,0,0,0,0
tt0464913,0,0,0,0,0,0
tt0383060,0,0,0,0,0,0
tt0488414,0,0,0,0,0,0
tt0441048,0,0,0,0,0,0
tt0457495,0,0,0,0,0,0
tt0437179,0,0,0,0,0,0
tt0479537,0,0,0,0,0,0
tt0461936,0,0,0,0,0,0
tt0409904,0,0,0,0,0,0
tt0416496,0,0,0,0,0,0
tt0454824,0,0,0,0,0,0
tt0473444,0,0,0,0,0,0
tt0398913,0,0,0,0,0,0
tt0408345,0,0,0,0,0,0
tt0493430,0,0,0,0,0,0
tt0446059,0,0,0,0,0,0
tt0409182,0,0,0,0,0,0
tt0404390,0,0,0,0,0,0
tt0462504,0,0,0,0,0,0
tt0430357,0,0,0,0,0,0
tt0418689,0,0,0,0,0,0
tt0449010,0,0,0,0,0,0
tt0417148,0,0,0,0,0,0
tt0475394,0,0,0,0,0,0
tt0498380,0,0,0,0,0,0
tt0479143,0,0,0,0,0,0
tt0479884,0,0,0,0,0,0
tt0472043,0,0,0,0,0,0
tt0453467,0,0,0,0,0,0
tt0317919,0,0,0,0,0,0
tt0376994,0,0,0,0,0,0
tt0381061,0,0,0,0,0,0
tt0383574,0,0,0,0,0,0
tt0455326,0,0,0,0,0,0
tt0857376,0,0,0,0,0,0
tt0473188,0,0,0,0,0,0
tt1121794,0,0,0,0,0,0
tt0850253,0,0,0,0,0,0
tt0906665,0,0,0,0,0,0
tt0479751,0,0,0,0,0,0
tt0923811,0,0,0,0,0,0
tt1051907,0,0,0,0,0,0
tt0901507,0,0,0,0,0,0
tt0467110,0,0,0,0,0,0
tt0837106,0,0,0,0,0,0
tt0486640,0,0,0,0,0,0
tt0372873,0,0,0,0,0,0
tt0913968,0,0,0,0,0,0
tt0804540,0,0,0,0,0,0
tt0479528,0,0,0,0,0,0
tt0845046,0,0,0,0,0,0
tt0462396,0,0,0,0,0,0
tt1024943,0,0,0,0,0,0
tt0490086,0,0,0,0,0,0
tt0446013,0,0,0,0,0,0
tt0416044,0,0,0,0,0,0
tt0460780,0,0,0,0,0,0
tt0443473,0,0,0,0,0,0
tt0476964,0,0,0,0,0,0
tt0453556,0,0,0,0,0,0
tt0804461,0,0,0,0,0,0
tt0499556,0,0,0,0,0,0
tt0861739,0,0,0,0,0,0
tt0486946,0,0,0,0,0,0
tt0758730,0,0,0,0,0,0
tt0431197,0,0,0,0,0,0
tt0465602,0,0,0,0,0,0
tt0435705,0,0,0,0,0,0
tt0293564,0,0,0,0,0,0
tt0465494,0,0,0,0,0,0
tt1038988,0,0,0,0,0,0
tt0442933,0,0,0,0,0,0
tt0389722,0,0,0,0,0,0
tt0462322,0,0,0,0,0,0
tt0432021,0,0,0,0,0,0
tt1077258,0,0,0,0,0,0
tt0465234,0,0,0,0,0,0
tt0259324,0,0,0,0,0,0
tt0765443,0,0,0,0,0,0
tt0486576,0,0,0,0,0,0
tt0381849,0,0,0,0,0,0
tt0822854,0,0,0,0,0,0
tt0337978,0,0,0,0,0,0
tt0425112,0,0,0,0,0,0
tt0373889,0,0,0,0,0,0
tt0413300,0,0,0,0,0,0
tt0449088,0,0,0,0,0,0
tt0418279,0,0,0,0,0,0
tt0440963,0,0,0,0,0,0
tt0400426,0,0,0,0,0,0
tt0808339,0,0,0,0,0,0
tt1260502,0,0,0,0,0,0
tt1146325,0,0,0,0,0,0
tt0411475,0,0,0,0,0,0
tt0892899,0,0,0,0,0,0
tt0920458,0,0,0,0,0,0
tt1183252,0,0,0,0,0,0
tt1046997,0,0,0,0,0,0
tt0443559,0,0,0,0,0,0
tt0884224,0,0,0,0,0,0
tt0490181,0,0,0,0,0,0
tt1029235,0,0,0,0,0,0
tt0411272,0,0,0,0,0,0
tt0449994,0,0,0,0,0,0
tt1174954,0,0,0,0,0,0
tt0785035,0,0,0,0,0,0
tt1259014,0,0,0,0,0,0
tt0901487,0,0,0,0,0,0
tt0765432,0,0,0,0,0,0
tt0425637,0,0,0,0,0,0
tt0844286,0,0,0,0,0,0
tt1185834,0,0,0,0,0,0
tt1190539,0,0,0,0,0,0
tt1166100,0,0,0,0,0,0
tt0814022,0,0,0,0,0,0
tt0988047,0,0,0,0,0,0
tt0800308,0,0,0,0,0,0
tt0831887,0,0,0,0,0,0
tt0450314,0,0,0,0,0,0
tt0426592,0,0,0,0,0,0
tt0811080,0,0,0,0,0,0
tt0462465,0,0,0,0,0,0
tt0770752,0,0,0,0,0,0
tt0483607,0,0,0,0,0,0
tt0416236,0,0,0,0,0,0
tt0364970,0,0,0,0,0,0
tt1023111,0,0,0,0,0,0
tt0865556,0,0,0,0,0,0
tt0421073,0,0,0,0,0,0
tt0373051,0,0,0,0,0,0
tt1172570,0,0,0,0,0,0
tt0467197,0,0,0,0,0,0
tt0443649,0,0,0,0,0,0
tt1034303,0,0,0,0,0,0
tt0443274,0,0,0,0,0,0
tt0859163,0,0,0,0,0,0
tt1129442,0,0,0,0,0,0
tt1059786,0,0,0,0,0,0
tt0499448,0,0,0,0,0,0
tt0452608,0,0,0,0,0,0
tt0425061,0,0,0,0,0,0
tt1220719,0,0,0,0,0,0
tt0758774,0,0,0,0,0,0
tt0462499,0,0,0,0,0,0
tt1032755,0,0,0,0,0,0
tt0411477,0,0,0,0,0,0
tt0489099,0,0,0,0,0,0
tt0910936,0,0,0,0,0,0
tt0493464,0,0,0,0,0,0
tt0942385,0,0,0,0,0,0
tt0830515,0,0,0,0,0,0
tt0441773,0,0,0,0,0,0
tt0367882,0,0,0,0,0,0
tt0800080,0,0,0,0,0,0
tt0448157,0,0,0,0,0,0
tt0936501,0,0,0,0,0,0
tt0371746,0,0,0,0,0,0
tt1212974,0,0,0,0,0,0
tt0806027,0,0,0,0,0,0
tt0860906,0,0,0,0,0,0
tt1183276,0,0,0,0,0,0
tt1274295,0,0,0,0,0,0
tt1447500,0,0,0,0,0,0
tt1084972,0,0,0,0,0,0
tt1337057,0,0,0,0,0,0
tt1124039,0,0,0,0,0,0
tt1020885,0,0,0,0,0,0
tt1071804,0,0,0,0,0,0
tt1326972,0,0,0,0,0,0
tt0891592,0,0,0,0,0,0
tt1474276,0,0,0,0,0,0
tt1288403,0,0,0,0,0,0
tt1160368,0,0,0,0,0,0
tt1149361,0,0,0,0,0,0
tt0913354,0,0,0,0,0,0
tt0346631,0,0,0,0,0,0
tt1171701,0,0,0,0,0,0
tt1082601,0,0,0,0,0,0
tt0375568,0,0,0,0,0,0
tt1112782,0,0,0,0,0,0
tt0471041,0,0,0,0,0,0
tt0365929,0,0,0,0,0,0
tt0838232,0,0,0,0,0,0
tt0436339,0,0,0,0,0,0
tt0450405,0,0,0,0,0,0
tt1247640,0,0,0,0,0,0
tt1190536,0,0,0,0,0,0
tt1075417,0,0,0,0,0,0
tt1300851,0,0,0,0,0,0
tt1242422,0,0,0,0,0,0
tt0457400,0,0,0,0,0,0
tt0971209,0,0,0,0,0,0
tt1186367,0,0,0,0,0,0
tt0970452,0,0,0,0,0,0
tt1098327,0,0,0,0,0,0
tt1289406,0,0,0,0,0,0
tt0963178,0,0,0,0,0,0
tt1114740,0,0,0,0,0,0
tt0465580,0,0,0,0,0,0
tt0765010,0,0,0,0,0,0
tt0433362,0,0,0,0,0,0
tt1034032,0,0,0,0,0,0
tt1121931,0,0,0,0,0,0
tt1188729,0,0,0,0,0,0
tt0892782,0,0,0,0,0,0
tt0834001,0,0,0,0,0,0
tt0986263,0,0,0,0,0,0
tt1111422,0,0,0,0,0,0
tt1046173,0,0,0,0,0,0
tt0448011,0,0,0,0,0,0
tt1013752,0,0,0,0,0,0
tt1197624,0,0,0,0,0,0
tt0438488,0,0,0,0,0,0
tt1055369,0,0,0,0,0,0
tt0417741,0,0,0,0,0,0
tt0458525,0,0,0,0,0,0
tt0988045,0,0,0,0,0,0
tt0796366,0,0,0,0,0,0
tt1136608,0,0,0,0,0,0
tt0499549,0,0,0,0,0,0
tt1375666,0,0,0,0,89,63
tt1545759,0,0,0,0,0,0
tt1287468,0,0,0,0,0,0
tt1686039,0,0,0,0,0,0
tt1319718,0,0,0,0,0,0
tt1648112,0,0,0,0,0,0
tt1013860,0,0,0,0,0,0
tt1395054,0,0,0,0,0,0
tt1291652,0,0,0,0,0,0
tt1332134,0,0,0,0,0,0
tt1230385,0,0,0,0,0,0
tt1181795,0,0,0,0,0,0
tt1179025,0,0,0,0,0,0
tt1648216,0,0,0,0,0,0
tt1305797,0,0,0,0,0,0
tt1032751,0,0,0,0,0,0
tt0411951,0,0,0,0,0,0
tt1620719,0,0,0,0,0,0
tt1456941,0,0,0,0,0,0
tt1641638,0,0,0,0,0,0
tt0896872,0,0,0,0,0,0
tt1167638,0,0,0,0,0,0
tt1235189,0,0,0,0,0,0
tt1273678,0,0,0,0,0,0
tt1470023,0,0,0,0,0,0
tt1181791,0,0,0,0,0,0
tt1075747,0,0,0,0,0,0
tt1116184,0,0,0,0,0,0
tt1135084,0,0,0,0,0,0
tt1527788,0,0,0,0,0,0
tt1512235,0,0,0,0,0,0
tt1219342,0,0,0,0,0,0
tt1020558,0,0,0,0,0,0
tt1555149,0,0,0,0,0,0
tt1385867,0,0,0,0,0,0
tt1103153,0,0,0,0,0,0
tt1564585,0,0,0,0,0,0
tt0480255,0,0,0,0,0,0
tt1386932,0,0,0,0,0,0
tt1038686,0,0,0,0,0,0
tt1433108,0,0,0,0,0,0
tt1053424,0,0,0,0,0,0
tt1588170,0,0,0,0,0,0
tt1179034,0,0,0,0,0,0
tt1038919,0,0,0,0,0,0
tt0947810,0,0,0,0,0,0
tt0938283,0,0,0,0,0,0
tt0963966,0,0,0,0,0,0
tt1155076,0,0,0,0,0,0
tt1220634,0,0,0,0,0,0
tt1458175,0,0,0,0,0,0
tt1013743,0,0,0,0,0,0
tt0477080,0,0,0,0,0,0
tt0985694,0,0,0,0,0,0
tt1424381,0,0,0,0,0,0
tt1243957,0,0,0,0,0,0
tt1001526,0,0,0,0,0,0
tt1325004,0,0,0,0,0,0
tt1386588,0,0,0,0,0,0
tt0429493,0,0,0,0,0,0
tt0955308,0,0,0,0,0,0
tt0473075,0,0,0,0,0,0
tt0800320,0,0,0,0,0,0
tt1245526,0,0,0,0,0,0
tt1037705,0,0,0,0,0,0
tt0944835,0,0,0,0,0,0
tt1104001,0,0,0,0,0,0
tt1320253,0,0,0,0,0,0
tt0446029,0,0,0,0,0,0
tt1250777,0,0,0,0,0,0
tt0892769,0,0,0,0,0,0
tt1228705,0,0,0,0,0,0
tt0458339,0,0,0,0,30,0
tt1718199,0,0,0,0,0,0
tt1948150,0,0,0,0,0,0
tt1708532,0,0,0,0,0,0
tt1535612,0,0,0,0,0,0
tt1436568,0,0,0,0,0,0
tt1886493,0,0,0,0,0,0
tt1656192,0,0,0,0,0,0
tt1533749,0,0,0,0,0,0
tt1748197,0,0,0,0,0,0
tt1305591,0,0,0,0,0,0
tt1729637,0,0,0,0,0,0
tt1517489,0,0,0,0,0,0
tt1464174,0,0,0,0,0,0
tt1934231,0,0,0,0,0,0
tt1422136,0,0,0,0,0,0
tt1646980,0,0,0,0,0,0
tt0999913,0,0,0,0,0,0
tt1562871,0,0,0,0,0,0
tt1233301,0,0,0,0,0,0
tt1640459,0,0,0,0,0,0
tt1214962,0,0,0,0,0,0
tt1285241,0,0,0,0,0,0
tt1093357,0,0,0,0,0,0
tt0873886,0,0,0,0,0,0
tt1586752,0,0,0,0,0,0
tt1034389,0,0,0,0,0,0
tt1600195,0,0,0,0,0,0
tt1297919,0,0,0,0,0,0
tt1506999,0,0,0,0,0,0
tt0479997,0,0,0,0,0,0
tt1622547,0,0,0,0,0,0
tt1657507,0,0,0,0,0,0
tt1502404,0,0,0,0,0,0
tt0816462,0,0,0,0,0,0
tt1614989,0,0,0,0,0,0
tt1478964,0,0,0,0,0,0
tt1509767,0,0,0,0,0,0
tt1071875,0,0,0,0,0,0
tt0822847,0,0,0,0,0,0
tt1634122,0,0,0,0,0,0
tt1448755,0,0,0,0,0,0
tt0471042,0,0,0,0,0,0
tt0448694,0,0,0,0,0,0
tt1568911,0,0,0,0,0,0
tt0472399,0,0,0,0,0,0
tt0990407,0,0,0,0,0,0
tt1253864,0,0,0,0,0,0
tt1217613,0,0,0,0,0,0
tt1899353,0,0,0,0,0,0
tt0993842,0,0,0,0,0,0
tt0409847,0,0,0,0,0,0
tt1598778,0,0,0,0,0,0
tt0983193,0,0,0,0,0,0
tt1324999,0,0,0,0,0,0
tt1464540,0,0,0,0,0,0
tt0978764,0,0,0,0,0,0
tt1601913,0,0,0,0,0,0
tt1302011,0,0,0,0,0,0
tt1401152,0,0,0,0,0,0
tt1133985,0,0,0,0,0,0
tt0433035,0,0,0,0,0,0
tt1596343,0,0,0,0,0,0
tt1637688,0,0,0,0,0,0
tt1399103,0,0,0,0,0,0
tt1515091,0,0,0,0,0,0
tt1229238,0,0,0,0,0,0
tt1298650,0,0,0,0,0,0
tt0945513,0,0,0,0,0,0
tt1318514,0,0,0,0,0,0
tt1270798,0,0,0,0,0,0
tt0800369,0,0,0,0,0,0
tt1836944,0,0,0,0,0,0
tt2112131,0,0,0,0,0,0
tt1438173,0,0,0,0,0,0
tt1525366,0,0,0,0,0,0
tt1753496,0,0,0,0,0,0
tt1362058,0,0,0,0,0,0
tt1928330,0,0,0,0,0,0
tt0857190,0,0,0,0,0,0
tt1979319,0,0,0,0,0,0
tt1876277,0,0,0,0,0,0
tt1766094,0,0,0,0,0,0
tt1659343,0,0,0,0,0,0
tt2077833,0,0,0,0,0,0
tt1598873,0,0,0,0,0,0
tt2258337,0,0,0,0,0,0
tt1424310,0,0,0,0,0,0
tt1849718,0,0,0,0,0,0
tt2187153,0,0,0,0,0,0
tt1925431,0,0,0,0,0,0
tt2016894,0,0,0,0,0,0
tt1645155,0,0,0,0,0,0
tt1620933,0,0,0,0,0,0
tt1712170,0,0,0,0,0,0
tt0485985,0,0,0,0,0,0
tt2097307,0,0,0,0,0,0
tt1366365,0,0,0,0,0,0
tt1598828,0,0,0,0,0,0
tt1838544,0,0,0,0,0,0
tt1656186,0,0,0,0,0,0
tt1308729,0,0,0,0,0,0
tt1783232,0,0,0,0,0,0
tt1258972,0,0,0,0,0,0
tt1591479,0,0,0,0,0,0
tt1234719,0,0,0,0,0,0
tt1954470,0,0,0,0,0,0
tt1648179,0,0,0,0,0,0
tt1397514,0,0,0,0,0,0
tt1034314,0,0,0,0,0,0
tt1592525,0,0,0,0,0,0
tt1656190,0,0,0,0,0,0
tt1567609,0,0,0,0,0,0
tt1547234,0,0,0,0,0,0
tt1524137,0,0,0,0,0,0
tt1298649,0,0,0,0,0,0
tt1855325,0,0,0,0,0,0
tt1568338,0,0,0,0,0,0
tt1496025,0,0,0,0,0,0
tt1611224,0,0,0,0,0,0
tt1446192,0,0,0,0,0,0
tt1596350,0,0,0,0,0,0
tt1646987,0,0,0,0,0,0
tt1599348,0,0,0,0,0,0
tt1855199,0,0,0,0,0,0
tt1440129,0,0,0,0,0,0
tt1386703,0,0,0,0,0,0
tt1343727,0,0,0,0,0,0
tt0401729,0,0,0,0,0,0
tt1735898,0,0,0,0,0,0
tt1194173,0,0,0,0,0,0
tt1397280,0,0,0,0,0,0
tt1764651,0,0,0,0,0,0
tt0790724,0,0,0,0,0,0
tt1409024,0,0,0,0,0,0
tt1371111,0,0,0,0,0,0
tt1232829,0,0,0,0,0,0
tt1276104,0,0,0,0,0,0
tt0948470,0,0,0,0,0,0
tt1074638,0,0,0,0,0,0
tt1392170,0,0,0,0,0,0
tt0848228,0,0,0,0,0,0
tt1345836,0,0,0,0,0,0
tt1911662,0,0,0,0,0,0
tt1375789,0,0,0,0,0,0
tt1966566,0,0,0,0,0,0
tt1981107,0,0,0,0,0,0
tt2004432,0,0,0,0,0,0
tt1747958,0,0,0,0,0,0
tt1545660,0,0,0,0,0,0
tt1659338,0,0,0,0,0,0
tt1029231,0,0,0,0,0,0
tt2368553,0,0,0,0,0,0
tt2167202,0,0,0,0,0,0
tt2263944,0,0,0,0,0,0
tt0469021,0,0,0,0,0,0
tt1821700,0,0,0,0,0,0
tt2317225,0,0,0,0,0,0
tt1462900,0,0,0,0,0,0
tt1684233,0,0,0,0,0,0
tt2016940,0,0,0,0,0,0
tt1480295,0,0,0,0,0,0
tt2199711,0,0,0,0,0,0
tt1833673,0,0,0,0,0,0
tt1160996,0,0,0,0,0,0
tt2112124,0,0,0,0,0,0
tt2101341,0,0,0,0,0,0
tt1893256,0,0,0,0,0,0
tt1321511,0,0,0,0,0,0
tt2002718,0,0,0,0,0,0
tt2017038,0,0,0,0,0,0
tt0882977,0,0,0,0,0,0
tt2312718,0,0,0,0,0,0
tt1206543,0,0,0,0,0,0
tt1602613,0,0,0,0,0,0
tt1517260,0,0,0,0,0,0
tt1904996,0,0,0,0,0,0
tt0790736,0,0,0,0,0,0
tt1538403,0,0,0,0,0,0
tt1549920,0,0,0,0,0,0
tt1411250,0,0,0,0,0,0
tt1821694,0,0,0,0,0,0
tt2404463,0,0,0,0,0,0
tt1583421,0,0,0,0,0,0
tt0481499,0,0,0,0,0,0
tt1815862,0,0,0,0,0,0
tt1428538,0,0,0,0,0,0
tt1980209,0,0,0,0,0,0
tt1606378,0,0,0,0,0,0
tt2334879,0,0,0,0,0,0
tt1321870,0,0,0,0,0,0
tt1210819,0,0,0,0,0,0
tt1731141,0,0,0,0,0,0
tt1211956,0,0,0,0,0,0
tt1213663,0,0,0,0,0,0
tt2302755,0,0,0,0,0,0
tt1650554,0,0,0,0,0,0
tt1091191,0,0,0,0,0,0
tt1706620,0,0,0,0,0,0
tt1905041,0,0,0,0,0,0
tt1535108,0,0,0,0,0,0
tt1430132,0,0,0,0,0,0
tt1663662,0,0,0,0,0,0
tt1408101,0,0,0,0,0,0
tt1483013,0,0,0,0,0,0
tt1981115,0,0,0,0,0,0
tt0816711,0,0,0,0,0,0
tt1951264,0,0,0,0,0,0
tt0770828,0,0,0,0,0,0
tt1300854,0,0,0,0,0,0
tt1361318,0,0,0,0,0,0
tt2212008,0,0,0,0,0,0
tt1188982,0,0,0,0,0,0
tt1945084,0,0,0,0,0,0
tt1085492,0,0,0,0,0,0
tt2011159,0,0,0,0,0,0
tt2393845,0,0,0,0,0,0
tt2490326,0,0,0,0,0,0
tt2401807,0,0,0,0,0,0
tt2372222,0,0,0,0,0,0
tt2452200,0,0,0,0,0,0
tt2088003,0,0,0,0,0,0
tt2461132,0,0,0,0,0,0
tt2275946,0,0,0,0,0,0
tt2467046,0,0,0,0,0,0
tt1430612,0,0,0,0,0,0
tt1686821,0,0,0,0,0,0
tt1043726,0,0,0,0,0,0
tt1971325,0,0,0,0,0,0
tt1742334,0,0,0,0,0,0
tt2402157,0,0,0,0,0,0
tt2106361,0,0,0,0,0,0
tt1121096,0,0,0,0,0,0
tt1418377,0,0,0,0,0,0
tt2172934,0,0,0,0,0,0
tt1408253,0,0,0,0,0,0
tt1921064,0,0,0,0,0,0
tt2265171,0,0,0,0,0,0
tt0365907,0,0,0,0,0,0
tt1205537,0,0,0,0,0,0
tt1924435,0,0,0,0,0,0
tt1267297,0,0,0,0,0,0
tt0458481,0,0,0,0,0,0
tt1528100,0,0,0,0,0,0
tt2369135,0,0,0,0,0,0
tt2333784,0,0,0,0,0,0
tt0829150,0,0,0,0,0,0
tt2446042,0,0,0,0,0,0
tt1291150,0,0,0,0,0,0
tt1234721,0,0,0,0,0,0
tt2397535,0,0,0,0,0,0
tt1959490,0,0,0,0,0,0
tt2024469,0,0,0,0,0,0
tt1253863,0,0,0,0,0,0
tt1646971,0,0,0,0,0,0
tt2109248,0,0,0,0,0,0
tt1490017,0,0,0,0,0,0
tt0455944,0,0,0,0,0,0
tt1587310,0,0,0,0,0,0
tt2294449,0,0,0,0,0,0
tt0831387,0,0,0,0,0,0
tt2245084,0,0,0,0,0,0
tt1951265,0,0,0,0,0,0
tt1790864,0,0,0,0,0,0
tt2103281,0,0,0,0,0,0
tt1872181,0,0,0,0,0,0
tt1840309,0,0,0,0,0,0
tt2179136,0,0,0,0,0,0
tt1631867,0,0,0,0,0,0
tt1877832,0,0,0,0,0,0
tt1843866,0,0,0,0,0,0
tt2015381,0,0,0,0,0,0
tt4987556,0,0,0,0,0,0
tt2401097,0,0,0,0,0,0
tt2302966,0,0,0,0,0,0
tt1731701,0,0,0,0,0,0
tt2140037,0,0,0,0,0,0
tt2424988,0,0,0,0,0,0
tt2515034,0,0,0,0,0,0
tt2493486,0,0,0,0,0,0
tt2402101,0,0,0,0,0,0
tt1727776,0,0,0,0,0,0
tt2091935,0,0,0,0,0,0
tt2231253,0,0,0,0,0,0
tt2058673,0,0,0,0,0,0
tt1781922,0,0,0,0,0,0
tt2140379,0,0,0,0,0,0
tt1618442,0,0,0,0,0,0
tt2199571,0,0,0,0,0,0
tt1390411,0,0,0,0,0,0
tt2120120,0,0,0,0,0,0
tt1502712,0,0,0,0,0,0
tt1964418,0,0,0,0,0,0
tt1617661,0,0,0,0,0,0
tt2126355,0,0,0,0,0,0
tt1823672,0,0,0,0,0,0
tt1340138,0,0,0,0,0,0
tt1638355,0,0,0,0,0,0
tt1951266,0,0,0,0,0,0
tt2381249,0,0,0,0,0,0
tt2379713,0,0,0,0,0,0
tt0478970,0,0,0,0,0,0
tt0369610,0,0,0,0,0,0
tt1663202,0,0,0,0,0,0
tt2395427,0,0,0,0,0,0
tt2488496,0,0,0,0,0,0
tt1392190,0,0,0,0,0,0
tt2126235,0,0,0,0,0,0
tt0315642,0,0,0,0,0,0
tt1472584,0,0,0,0,0,0
tt2238032,0,0,0,0,0,0
tt1542768,0,0,0,0,0,0
tt5595168,0,0,0,0,0,0
tt2513074,0,0,0,0,0,0
tt0775440,0,0,0,0,0,0
tt5640450,0,0,0,0,0,0
tt2368619,0,0,0,0,0,0
tt4832640,0,0,0,0,0,0
tt4853102,0,0,0,0,0,0
tt2106651,0,0,0,0,0,0
tt1124037,0,0,0,0,0,0
tt1374989,0,0,0,0,0,0
tt2361317,0,0,0,0,0,0
tt2387499,0,0,0,0,0,0
tt1608290,0,0,0,0,0,0
tt1985949,0,0,0,0,0,0
tt2381991,0,0,0,0,0,0
tt2304933,0,0,0,0,0,0
tt2404233,0,0,0,0,0,0
tt5813916,0,0,0,0,0,0
tt2034800,0,0,0,0,0,0
tt5700672,0,0,0,0,0,0
tt2267968,0,0,0,0,0,0
tt5074352,0,0,0,0,0,0
tt1860357,0,0,0,0,0,0
tt1489889,0,0,0,0,0,0
tt0918940,0,0,0,0,0,0
tt1628841,0,0,0,0,0,0
tt2094766,0,0,0,0,0,0
tt2404435,0,0,0,0,0,0
tt1289401,0,0,0,0,0,0
tt0803096,0,0,0,0,0,0
tt2140479,0,0,0,0,0,0
tt1211837,0,0,0,0,0,0
tt1386697,0,0,0,0,0,0
tt1431045,0,0,0,0,0,0
tt5084170,0,0,0,0,0,0
tt5723286,0,0,0,0,0,0
tt1139592,0,0,0,0,0,0
tt1724970,0,0,0,0,0,0
tt7294534,0,0,0,0,0,0
tt5607028,0,0,0,0,0,0
tt5956100,0,0,0,0,0,0
tt6148156,0,0,0,0,0,0
tt5460276,0,0,0,0,0,0
tt6485666,0,0,0,0,0,0
tt2091256,0,0,0,0,0,0
tt1734493,0,0,0,0,0,0
tt2072233,0,0,0,0,0,0
tt6738136,0,0,0,0,0,0
tt2334871,0,0,0,0,0,0
tt6990206,0,0,0,0,0,0
tt0493405,0,0,0,0,0,0
tt5657856,0,0,0,0,0,0
tt2226597,0,0,0,0,0,0
tt1961175,0,0,0,0,0,0
tt4849438,0,0,0,0,0,0
tt1293847,0,0,0,0,0,0
tt1981128,0,0,0,0,0,0
tt1615160,0,0,0,0,0,0
tt1536537,0,0,0,0,0,0
tt1648190,0,0,0,0,0,0
tt1469304,0,0,0,0,0,0
tt2239822,0,0,0,0,0,0
tt5519340,0,0,0,0,0,0
tt2406566,0,0,0,0,0,0
tt2345759,0,0,0,0,0,0
tt1959563,0,0,0,0,0,0
tt1972591,0,0,0,0,0,0
tt1219827,0,0,0,0,0,0
tt1790809,0,0,0,0,0,0
tt0974015,0,0,0,0,0,0
tt1856101,0,0,0,0,0,0
tt2250912,0,0,0,0,0,0
tt5013056,0,0,0,0,0,0
tt0451279,0,0,0,0,0,0
tt4912910,0,0,0,0,65,0
tt7060344,0,0,0,0,0,0
tt7363076,0,0,0,0,0,0
tt7424200,0,0,0,0,0,0
tt6980546,0,0,0,0,0,0
tt7748244,0,0,0,0,0,0
tt7451284,0,0,0,0,0,0
tt7212726,0,0,0,0,0,0
tt5970844,0,0,0,0,0,0
tt7392212,0,0,0,0,0,0
tt6116856,0,0,0,0,0,0
tt5360952,0,0,0,0,0,0
tt5670152,0,0,0,0,0,0
tt6826438,0,0,0,0,0,0
tt7961060,0,0,0,0,0,0
tt7137380,0,0,0,0,0,0
tt7098658,0,0,0,0,0,0
tt1308728,0,0,0,0,0,0
tt6513656,0,0,0,0,0,0
tt6491178,0,0,0,0,0,0
tt5001754,0,0,0,0,0,0
tt7838252,0,0,0,0,0,0
tt7431594,0,0,0,0,0,0
tt5177088,0,0,0,0,0,0
tt5834262,0,0,0,0,0,0
tt6306064,0,0,0,0,0,0
tt5246700,0,0,0,0,0,0
tt1846589,0,0,0,0,0,0
tt6850820,0,0,0,0,0,0
tt6133466,0,0,0,0,0,0
tt6679794,0,0,0,0,0,0
tt6998518,0,0,0,0,0,0
tt6921996,0,0,0,0,0,0
tt1413492,0,0,0,0,0,0
tt1137450,0,0,0,0,0,0
tt6663582,0,0,0,0,0,0
tt1259528,0,0,0,0,0,0
tt1571234,0,0,0,0,0,0
tt5758778,0,0,0,0,0,0
tt1590193,0,0,0,0,0,0
tt5052474,0,0,0,0,0,0
tt6499752,0,0,0,0,0,0
tt2231461,0,0,0,0,0,0
tt5164214,0,0,0,0,0,0
tt1365519,0,0,0,0,0,0
tt4881806,0,0,0,0,0,0
tt5095030,0,0,0,0,0,0
tt1477834,0,0,0,0,0,0
tt1270797,0,0,0,0,0,0
tt1677720,0,0,0,0,0,0
tt5463162,0,0,0,0,0,0
tt1825683,0,0,0,0,0,0
tt6749318,0,0,0,0,0,0
tt6131450,0,0,0,0,0,0
tt6869538,0,0,0,0,0,0
tt2316479,0,0,0,0,0,0
tt8023734,0,0,0,0,0,0
tt7338690,0,0,0,0,0,0
